Dataset,Model_Name,Batch_Size,Window_Size,Fold,Accuracy_Train,Accuracy_Validation,Accuracy_Test,Accuracy_Test_Full_Train
SWAT,XCM,32,20,1,0.9839928857269897,0.9617777777777777,0.9472,0.9578666666666666
SWAT,XCM,32,20,2,0.9942196531791907,0.984,0.944,0.9578666666666666
SWAT,XCM,32,20,3,0.9953312583370387,0.9822222222222222,0.9541333333333334,0.9578666666666666
SWAT,XCM,32,20,4,0.9968881973771949,0.9848754448398577,0.9498666666666666,0.9578666666666666
SWAT,XCM,32,20,5,0.9862191598132919,0.9679715302491103,0.9594666666666667,0.9578666666666666
